make;model;year;mileage;engine_power;fuel_type;gearbox;price
citroen;c3-aircross;2022;100000;120;diesel;automatic;48500
hyundai;i20;2014;98000;85;petrol;manual;19999
hyundai;i30;2010;139000;115;diesel;manual;14000
volkswagen;caddy;2024;8200;204;plugin-hybrid;automatic;169899
fiat;500;2016;68000;69;petrol;manual;26999
bmw;x5;2018;90000;265;diesel;automatic;194000
audi;q5;2020;83544;252;petrol;automatic;100000
honda;fr-v;2005;254000;125;petrol;manual;6200
audi;q8;2019;79600;340;petrol;automatic;185000
renault;arkana;2023;33203;140;petrol;automatic;82900
skoda;kodiaq;2025;10998;193;diesel;automatic;184900
peugeot;308;2008;199000;120;petrol;manual;7300
ford;mondeo-sw;2018;157818;150;diesel;manual;45440
hyundai;i20;2018;44000;84;petrol;manual;38500
ford;mondeo;2010;251000;140;diesel;manual;22500
opel;astra;2005;280000;200;petrol;manual;11900
mercedes-benz;cla;2023;44000;136;petrol;automatic;140576
dacia;sandero-stepway;2018;64257;90;petrol;manual;32900
mercedes-benz;slk;1998;148000;136;petrol;automatic;15400
mitsubishi;lancer;2005;199000;135;petrol-lpg;manual;15500
chevrolet;aveo;2008;105950;84;petrol;manual;8500
citroen;c4-picasso;2017;106833;120;diesel;manual;39900
skoda;rapid;2017;84000;125;petrol;automatic;45000
nissan;micra;2007;253509;65;petrol;manual;5800
renault;clio;2018;76500;90;petrol;manual;32000
porsche;macan;2017;169000;340;petrol;automatic;121770
mercedes-benz;klasa-e;2003;262987;190;diesel;automatic;15900
volkswagen;crafter;2019;146100;177;diesel;automatic;123000
citroen;berlingo;2019;68928;102;diesel;manual;49800
citroen;berlingo;2017;71488;75;diesel;manual;35600
audi;q3;2015;129000;220;petrol;automatic;59900
bmw;seria-3;2009;268000;245;diesel;automatic;27500
fiat;doblo;2010;298000;135;diesel;manual;20900
bmw;seria-3;2021;159000;190;diesel;automatic;92900
bmw;seria-5;2022;157830;190;diesel;automatic;99900
volvo;v40;2012;169800;150;diesel;automatic;34900
mercedes-benz;klasa-c;2015;196311;211;petrol;automatic;55900
nissan;juke;2020;88730;117;petrol;automatic;35900
citroen;c3;2023;40000;83;petrol;manual;25800
seat;altea;2011;238000;105;diesel;manual;14000
mini;paceman;2014;174344;143;diesel;manual;34500
peugeot;3008;2010;207000;110;diesel;manual;17900
hyundai;i20;2015;128753;75;diesel;manual;25900
volkswagen;golf-sportsvan;2015;99900;125;petrol;automatic;47900
toyota;rav4;2013;105000;124;diesel;manual;55000
skoda;rapid;2015;124989;90;diesel;manual;26999
mercedes-benz;cla;2019;60000;224;petrol;automatic;128000
peugeot;308;2010;262500;109;diesel;manual;9500
mazda;cx-3;2019;31000;121;petrol;automatic;70900
nissan;qashqai-2;2009;199000;150;diesel;manual;22900
audi;q7;2009;284000;240;diesel;automatic;41500
volvo;xc-60;2013;216000;163;diesel;automatic;52000
volkswagen;passat;2007;462500;140;diesel;automatic;7500
suzuki;vitara;2021;89000;129;petrol;automatic;75000
jeep;wrangler;2019;130000;270;petrol;automatic;159900
ford;kuga;2010;163290;163;diesel;manual;33900
opel;grandland-x;2018;142000;120;diesel;automatic;53000
volvo;v60;2011;300000;163;diesel;manual;33600
hyundai;i10;2019;16395;67;petrol;automatic;44900
mercedes-benz;klasa-s;2012;270000;435;petrol;automatic;59900
hyundai;ix35;2014;176000;135;petrol;manual;39900
volvo;v60;2015;199300;120;diesel;manual;38500
mitsubishi;outlander;2011;212000;147;petrol;manual;29900
skoda;superb;2016;213928;180;petrol;automatic;59500
subaru;forester;2019;87000;150;petrol;automatic;100000
audi;a4-avant;2010;260231;211;petrol;manual;30500
mercedes-benz;cla;2020;130200;136;petrol;automatic;93000
toyota;c-hr;2021;113000;184;hybrid;automatic;98900
lancia;thema;2013;240000;286;petrol;automatic;56000
volkswagen;tiguan;2021;119000;150;diesel;automatic;108900
hyundai;i30;2023;132000;120;petrol;manual;51700
volkswagen;golf;2020;203871;115;diesel;manual;57500
kia;sportage;2015;160000;115;diesel;manual;49000
bmw;x4;2016;174088;190;diesel;automatic;93100
hyundai;tucson;2019;102200;132;petrol;manual;76900
toyota;avensis;2015;270000;124;diesel;manual;31500
mercedes-benz;klasa-c;2022;82000;204;petrol;automatic;157000
peugeot;partner;2012;218000;112;diesel;manual;22900
ford;focus;2020;102407;125;petrol;manual;42900
volkswagen;passat;2022;168236;150;diesel;automatic;84900
volvo;xc-40;2022;188240;129;petrol;automatic;86900
volvo;v50;2010;309500;109;diesel;manual;17000
volkswagen;golf;2018;270000;115;diesel;manual;36000
kia;sportage;2015;228501;135;petrol;manual;49900
kia;ceed;2018;266000;136;diesel;manual;29900
citroen;c4-picasso;2011;249000;110;diesel;manual;6900
dodge;durango;2019;33711;360;petrol;automatic;33500
audi;q3;2018;100551;211;petrol-lpg;automatic;67500
toyota;corolla;2022;47000;122;hybrid;automatic;78000
dfsk;seres-3;2022;29416;162;electric;automatic;57500
alfa-romeo;giulia;2021;61000;160;diesel;automatic;39900
volvo;s40;2011;93000;150;diesel;manual;28900
bmw;i3;2014;160000;170;electric;automatic;29900
volkswagen;id4;2025;16000;286;electric;automatic;69500
tesla;y;2024;55000;308;electric;automatic;44900
ford;s-max;2016;140000;180;diesel;manual;39700
volkswagen;beetle;2018;31247;174;petrol;automatic;65990
mitsubishi;colt;2006;114108;95;petrol;manual;12000
opel;astra;2018;93000;136;diesel;manual;29500
dacia;duster;2018;120000;109;diesel;automatic;33000
suzuki;vitara;2024;30497;129;hybrid;manual;72900
renault;megane;2007;119000;113;petrol;manual;12900
volvo;xc-40;2021;52685;250;petrol;automatic;34500
volvo;c30;2011;109080;100;petrol;manual;28000
jeep;cherokee;2021;77000;270;petrol;automatic;108999
kia;sportage;2018;83688;132;petrol;manual;57998
mercedes-benz;cl;2002;90000;306;petrol;automatic;59900
toyota;yaris;2013;114719;90;diesel;manual;19500
volvo;xc-60;2021;62158;320;petrol;automatic;42000
bmw;x5;2016;74147;306;petrol;automatic;36500
toyota;c-hr;2021;73352;184;hybrid;automatic;104998
citroen;c4;2012;137890;120;petrol;manual;16900
dacia;sandero;2009;81730;87;petrol;manual;13000
suzuki;swift;2014;123000;94;petrol;manual;16900
bmw;seria-2;2017;147186;224;hybrid;automatic;52998
bmw;seria-5;2023;62780;286;diesel;automatic;179000
citroen;c3;2021;21000;83;petrol;manual;29900
mitsubishi;outlander;2018;130936;150;petrol;automatic;66998
skoda;octavia;2007;130000;105;diesel;manual;19900
audi;q2;2023;46558;150;petrol;automatic;88997
mercedes-benz;glc;2017;65109;170;diesel;automatic;111998
opel;crossland-x;2024;20341;110;petrol;manual;59000
dodge;charger;2018;69000;305;petrol;automatic;99000
byd;seal-5;2025;10300;212;plugin-hybrid;automatic;98000
citroen;c4;2006;179970;110;petrol-lpg;automatic;10900
kia;sportage;2024;15300;150;petrol;manual;101498
audi;a4-limousine;2019;71000;150;petrol;automatic;79000
peugeot;308;2019;130588;130;diesel;manual;35998
peugeot;308;2019;134130;130;diesel;manual;35998
skoda;octavia;2018;60012;150;petrol;manual;57998
hyundai;i20;2020;70468;84;petrol-lpg;manual;43998
audi;a3-limousine;2015;84600;125;petrol;automatic;66750
subaru;impreza;2010;160000;170;petrol;automatic;18990
mercedes-benz;klasa-s;2019;70200;612;petrol;automatic;85000
opel;astra;2023;70667;130;diesel;manual;69998
renault;megane;2022;115559;116;diesel;automatic;47900
toyota;aygo;2014;86000;69;petrol;automatic;33900
ford;focus;2017;107000;105;petrol;manual;29900
mazda;3;2010;156881;115;diesel;manual;9900
bmw;seria-5;2019;69393;252;petrol;automatic;49000
mg;mg3;2024;19753;194;hybrid;automatic;77997
honda;odyssey;2005;257000;255;petrol;automatic;14900
bmw;seria-7;2010;81090;465;hybrid;automatic;35900
bmw;seria-5;2009;186528;190;petrol;manual;7999
seat;altea-xl;2010;338031;90;diesel;manual;9000
